chr	start	end	name	score	tissue
chr10	87817714	87818884	Peak_121401	75	gastroesophageal sphincter
chr10	87817714	87818884	Peak_17968	1000	gastroesophageal sphincter
chr10	87817714	87818884	Peak_57256	271	gastroesophageal sphincter
chr10	87850836	87851114	Peak_60840	246	gastroesophageal sphincter
chr10	87861609	87862853	Peak_116329	80	gastroesophageal sphincter
chr10	87861609	87862853	Peak_30591	662	gastroesophageal sphincter
chr10	87861609	87862853	Peak_51121	322	gastroesophageal sphincter
chr10	87861609	87862853	Peak_6215	1000	gastroesophageal sphincter
chr10	87863219	87863962	Peak_132158	66	gastroesophageal sphincter
chr10	87863219	87863962	Peak_23715	924	gastroesophageal sphincter
chr10	87863219	87863962	Peak_30397	669	gastroesophageal sphincter
chr10	87935509	87935745	Peak_122950	72	gastroesophageal sphincter
chr10	87935819	87936128	Peak_81412	151	gastroesophageal sphincter
chr10	87948600	87948889	Peak_69797	197	gastroesophageal sphincter
chr10	88027562	88027871	Peak_53680	298	gastroesophageal sphincter
chr10	88042575	88043128	Peak_78057	163	gastroesophageal sphincter
chr10	88059222	88059517	Peak_115572	82	gastroesophageal sphincter
chr10	88063996	88064194	Peak_160000	49	gastroesophageal sphincter
chr10	88064568	88065153	Peak_82004	150	gastroesophageal sphincter
chr10	88064568	88065153	Peak_86772	136	gastroesophageal sphincter
chr10	88066984	88067265	Peak_151947	52	gastroesophageal sphincter
chr10	88097554	88097837	Peak_188484	40	gastroesophageal sphincter
chr10	88106413	88106796	Peak_122951	72	gastroesophageal sphincter
chr10	88152804	88153101	Peak_67910	206	gastroesophageal sphincter
chr10	88157870	88158528	Peak_24006	908	gastroesophageal sphincter
chr10	88157870	88158528	Peak_24974	864	gastroesophageal sphincter
chr10	88193896	88194484	Peak_56782	273	gastroesophageal sphincter
chr10	88243858	88244064	Peak_108405	90	gastroesophageal sphincter
chr10	88244174	88244383	Peak_110327	89	gastroesophageal sphincter
chr10	88245995	88246242	Peak_61609	241	gastroesophageal sphincter
chr10	88254118	88254434	Peak_31492	638	gastroesophageal sphincter
chr10	88255977	88256713	Peak_36315	526	gastroesophageal sphincter
chr10	88271844	88272117	Peak_71586	189	gastroesophageal sphincter
chr10	88314431	88314673	Peak_69798	197	gastroesophageal sphincter
chr10	88343912	88344489	Peak_128930	67	gastroesophageal sphincter
chr10	88343912	88344489	Peak_153336	51	gastroesophageal sphincter
chr10	88386867	88387541	Peak_141322	58	gastroesophageal sphincter
chr10	88386867	88387541	Peak_30077	678	gastroesophageal sphincter
chr10	88456785	88457238	Peak_121267	75	gastroesophageal sphincter
chr10	88456785	88457238	Peak_175132	43	gastroesophageal sphincter
chr10	88459571	88459916	Peak_119341	78	gastroesophageal sphincter
chr10	88475016	88475703	Peak_108718	90	gastroesophageal sphincter
chr10	88475016	88475703	Peak_81413	151	gastroesophageal sphincter
chr10	88537948	88538428	Peak_39723	466	gastroesophageal sphincter
chr10	88541410	88541740	Peak_76599	168	gastroesophageal sphincter
chr10	88553219	88553463	Peak_63563	229	gastroesophageal sphincter
chr10	87817161	87817378	Peak_177435	291	left colon
chr10	87817661	87819134	Peak_107735	1000	left colon
chr10	87817661	87819134	Peak_115254	916	left colon
chr10	87817661	87819134	Peak_36427	1000	left colon
chr10	87817661	87819134	Peak_5120	1000	left colon
chr10	87817661	87819134	Peak_90252	1000	left colon
chr10	87842095	87842929	Peak_3793	1000	left colon
chr10	87843081	87843362	Peak_118976	853	left colon
chr10	87845378	87845555	Peak_154176	439	left colon
chr10	87850807	87851280	Peak_268606	61	left colon
chr10	87850807	87851280	Peak_43932	1000	left colon
chr10	87861568	87861882	Peak_75139	1000	left colon
chr10	87861980	87863755	Peak_111538	984	left colon
chr10	87861980	87863755	Peak_112186	970	left colon
chr10	87861980	87863755	Peak_17271	1000	left colon
chr10	87861980	87863755	Peak_17272	1000	left colon
chr10	87861980	87863755	Peak_6548	1000	left colon
chr10	87861980	87863755	Peak_95583	1000	left colon
chr10	87864636	87864821	Peak_208679	170	left colon
chr10	87872861	87873562	Peak_285255	43	left colon
chr10	87872861	87873562	Peak_291793	37	left colon
chr10	87915395	87915829	Peak_262122	69	left colon
chr10	87915395	87915829	Peak_298096	31	left colon
chr10	87916132	87916319	Peak_189298	236	left colon
chr10	87921905	87922302	Peak_179182	281	left colon
chr10	87925653	87925891	Peak_189299	236	left colon
chr10	87942285	87942494	Peak_290074	40	left colon
chr10	87943043	87943450	Peak_135825	617	left colon
chr10	87943043	87943450	Peak_293580	36	left colon
chr10	87952588	87953074	Peak_124670	764	left colon
chr10	87955421	87955802	Peak_213959	154	left colon
chr10	87955421	87955802	Peak_278609	50	left colon
chr10	87956151	87956388	Peak_173894	308	left colon
chr10	87961145	87961699	Peak_209871	165	left colon
chr10	87961145	87961699	Peak_232546	113	left colon
chr10	87972586	87972916	Peak_249429	85	left colon
chr10	88027567	88027761	Peak_219813	140	left colon
chr10	88028447	88029074	Peak_226678	125	left colon
chr10	88028447	88029074	Peak_25569	1000	left colon
chr10	88062809	88063085	Peak_213960	154	left colon
chr10	88080189	88080556	Peak_123544	782	left colon
chr10	88089531	88089797	Peak_197183	205	left colon
chr10	88095376	88095604	Peak_237857	104	left colon
chr10	88096172	88096372	Peak_171453	322	left colon
chr10	88108247	88108619	Peak_225041	128	left colon
chr10	88108247	88108619	Peak_291794	37	left colon
chr10	88113987	88114654	Peak_105054	1000	left colon
chr10	88113987	88114654	Peak_134513	632	left colon
chr10	88118309	88118471	Peak_235174	108	left colon
chr10	88138383	88139145	Peak_17773	1000	left colon
chr10	88156451	88156671	Peak_178708	285	left colon
chr10	88157904	88158187	Peak_68273	1000	left colon
chr10	88158681	88159445	Peak_222098	135	left colon
chr10	88158681	88159445	Peak_59606	1000	left colon
chr10	88181976	88182193	Peak_229964	118	left colon
chr10	88184610	88185283	Peak_135946	615	left colon
chr10	88184610	88185283	Peak_171454	322	left colon
chr10	88190205	88190908	Peak_102404	1000	left colon
chr10	88190205	88190908	Peak_166717	350	left colon
chr10	88194397	88194638	Peak_235175	108	left colon
chr10	88216867	88217348	Peak_216000	149	left colon
chr10	88216867	88217348	Peak_54332	1000	left colon
chr10	88227405	88228092	Peak_120493	827	left colon
chr10	88227405	88228092	Peak_126587	737	left colon
chr10	88234099	88234846	Peak_257564	76	left colon
chr10	88234099	88234846	Peak_26754	1000	left colon
chr10	88235278	88235493	Peak_155955	425	left colon
chr10	88236139	88236595	Peak_33783	1000	left colon
chr10	88243650	88244504	Peak_34880	1000	left colon
chr10	88243650	88244504	Peak_57224	1000	left colon
chr10	88245923	88246223	Peak_124106	773	left colon
chr10	88288508	88289069	Peak_271454	58	left colon
chr10	88288508	88289069	Peak_94273	1000	left colon
chr10	88289278	88289803	Peak_59577	1000	left colon
chr10	88315865	88316085	Peak_206990	175	left colon
chr10	88320014	88320661	Peak_33507	1000	left colon
chr10	88342735	88343156	Peak_106903	1000	left colon
chr10	88346594	88346899	Peak_150568	469	left colon
chr10	88365324	88365620	Peak_195532	211	left colon
chr10	88370650	88371065	Peak_93466	1000	left colon
chr10	88372059	88372468	Peak_158735	405	left colon
chr10	88372059	88372468	Peak_226481	126	left colon
chr10	88372940	88373455	Peak_181183	273	left colon
chr10	88372940	88373455	Peak_58821	1000	left colon
chr10	88374455	88375071	Peak_159743	398	left colon
chr10	88374455	88375071	Peak_66474	1000	left colon
chr10	88377484	88377787	Peak_168820	337	left colon
chr10	88378921	88379144	Peak_184498	257	left colon
chr10	88379638	88380146	Peak_57435	1000	left colon
chr10	88385483	88386722	Peak_25448	1000	left colon
chr10	88385483	88386722	Peak_3277	1000	left colon
chr10	88385483	88386722	Peak_53363	1000	left colon
chr10	88385483	88386722	Peak_93278	1000	left colon
chr10	88387131	88387473	Peak_51752	1000	left colon
chr10	88392316	88392526	Peak_198230	203	left colon
chr10	88404920	88405164	Peak_160264	393	left colon
chr10	88420461	88420975	Peak_107872	1000	left colon
chr10	88420461	88420975	Peak_265298	65	left colon
chr10	88424502	88424787	Peak_265299	65	left colon
chr10	88427120	88427313	Peak_197184	205	left colon
chr10	88428423	88428864	Peak_162417	379	left colon
chr10	88428423	88428864	Peak_258851	73	left colon
chr10	88437470	88437779	Peak_165618	357	left colon
chr10	88474333	88474958	Peak_47542	1000	left colon
chr10	88475040	88475195	Peak_275273	54	left colon
chr10	88493656	88494002	Peak_78813	1000	left colon
chr10	88523728	88524076	Peak_62503	1000	left colon
chr10	88525812	88526168	Peak_69725	1000	left colon
chr10	88553118	88553663	Peak_295054	34	left colon
chr10	88553118	88553663	Peak_53492	1000	left colon
chr10	87817681	87819094	Peak_10761	1000	adrenal gland
chr10	87817681	87819094	Peak_150960	108	adrenal gland
chr10	87817681	87819094	Peak_218585	57	adrenal gland
chr10	87817681	87819094	Peak_37848	712	adrenal gland
chr10	87817681	87819094	Peak_85880	264	adrenal gland
chr10	87817681	87819094	Peak_93425	232	adrenal gland
chr10	87841253	87841540	Peak_129439	140	adrenal gland
chr10	87850813	87851281	Peak_261080	40	adrenal gland
chr10	87850813	87851281	Peak_46165	576	adrenal gland
chr10	87861617	87862882	Peak_42947	622	adrenal gland
chr10	87861617	87862882	Peak_67111	368	adrenal gland
chr10	87861617	87862882	Peak_75230	317	adrenal gland
chr10	87861617	87862882	Peak_8360	1000	adrenal gland
chr10	87863052	87864133	Peak_131760	137	adrenal gland
chr10	87863052	87864133	Peak_15460	1000	adrenal gland
chr10	87863052	87864133	Peak_17322	1000	adrenal gland
chr10	87870942	87871319	Peak_197034	69	adrenal gland
chr10	87870942	87871319	Peak_220871	55	adrenal gland
chr10	87935520	87936130	Peak_151591	107	adrenal gland
chr10	87935520	87936130	Peak_70728	345	adrenal gland
chr10	87948654	87948877	Peak_107280	190	adrenal gland
chr10	87961429	87961791	Peak_95821	224	adrenal gland
chr10	88027523	88027824	Peak_170084	87	adrenal gland
chr10	88045826	88046200	Peak_172813	87	adrenal gland
chr10	88045826	88046200	Peak_188167	75	adrenal gland
chr10	88064581	88064998	Peak_97390	219	adrenal gland
chr10	88091562	88091950	Peak_244785	45	adrenal gland
chr10	88092970	88093270	Peak_189713	73	adrenal gland
chr10	88114402	88114858	Peak_45739	582	adrenal gland
chr10	88131529	88132229	Peak_100774	208	adrenal gland
chr10	88147450	88147803	Peak_100582	208	adrenal gland
chr10	88152586	88153172	Peak_26472	1000	adrenal gland
chr10	88157959	88158490	Peak_50073	525	adrenal gland
chr10	88157959	88158490	Peak_77178	305	adrenal gland
chr10	88185971	88186301	Peak_177076	81	adrenal gland
chr10	88186396	88186615	Peak_142155	119	adrenal gland
chr10	88210176	88210559	Peak_188567	74	adrenal gland
chr10	88210176	88210559	Peak_207314	63	adrenal gland
chr10	88218413	88218747	Peak_195899	70	adrenal gland
chr10	88226052	88226599	Peak_80284	291	adrenal gland
chr10	88227381	88227685	Peak_86361	262	adrenal gland
chr10	88243277	88243515	Peak_90566	244	adrenal gland
chr10	88243668	88244526	Peak_20850	1000	adrenal gland
chr10	88243668	88244526	Peak_9080	1000	adrenal gland
chr10	88246002	88246421	Peak_298748	31	adrenal gland
